# This pad file is for the HPK 2S sensor for the 6inch runs, contact in the middle

Campaign: Hamamatsu 6inch 2S					
Creator: Dominic Bloech 03.12.2018
				
reference pad: 2			
reference pad: 1017					
reference pad: 1016

# Additional parameters
implant_length: 0
metal_width: 32
implant_width: 22
metal_length: 49504
pitch: 90
thickness: 240
type: p-type

strip	x	y	z
820	0	-73710	0
821	0	-73800	0
822	0	-73890	0
823	0	-73980	0
824	0	-74070	0
825	0	-74160	0
826	0	-74250	0
827	0	-74340	0
828	0	-74430	0
829	0	-74520	0
830	0	-74610	0
831	0	-74700	0
832	0	-74790	0
833	0	-74880	0
834	0	-74970	0
835	0	-75060	0
836	0	-75150	0
837	0	-75240	0
838	0	-75330	0
839	0	-75420	0
840	0	-75510	0
841	0	-75600	0
842	0	-75690	0
843	0	-75780	0
844	0	-75870	0
845	0	-75960	0
846	0	-76050	0
847	0	-76140	0
848	0	-76230	0
849	0	-76320	0
850	0	-76410	0
851	0	-76500	0
852	0	-76590	0
853	0	-76680	0
854	0	-76770	0
855	0	-76860	0
856	0	-76950	0
857	0	-77040	0
858	0	-77130	0
859	0	-77220	0
860	0	-77310	0
861	0	-77400	0
862	0	-77490	0
863	0	-77580	0
864	0	-77670	0
865	0	-77760	0
866	0	-77850	0
867	0	-77940	0
868	0	-78030	0
869	0	-78120	0
870	0	-78210	0
871	0	-78300	0
872	0	-78390	0
873	0	-78480	0
874	0	-78570	0
875	0	-78660	0
876	0	-78750	0
877	0	-78840	0
878	0	-78930	0
879	0	-79020	0
880	0	-79110	0
881	0	-79200	0
882	0	-79290	0
883	0	-79380	0
884	0	-79470	0
885	0	-79560	0
886	0	-79650	0
887	0	-79740	0
888	0	-79830	0
889	0	-79920	0
890	0	-80010	0
891	0	-80100	0
892	0	-80190	0
893	0	-80280	0
894	0	-80370	0
895	0	-80460	0
896	0	-80550	0
897	0	-80640	0
898	0	-80730	0
899	0	-80820	0
900	0	-80910	0
901	0	-81000	0
902	0	-81090	0
903	0	-81180	0
904	0	-81270	0
905	0	-81360	0
906	0	-81450	0
907	0	-81540	0
908	0	-81630	0
909	0	-81720	0
910	0	-81810	0
911	0	-81900	0
912	0	-81990	0
913	0	-82080	0
914	0	-82170	0
915	0	-82260	0
916	0	-82350	0
917	0	-82440	0
918	0	-82530	0
919	0	-82620	0
920	0	-82710	0
921	0	-82800	0
922	0	-82890	0
923	0	-82980	0
924	0	-83070	0
925	0	-83160	0
926	0	-83250	0
927	0	-83340	0
928	0	-83430	0
929	0	-83520	0
930	0	-83610	0
931	0	-83700	0
932	0	-83790	0
933	0	-83880	0
934	0	-83970	0
935	0	-84060	0
936	0	-84150	0
937	0	-84240	0
938	0	-84330	0
939	0	-84420	0
940	0	-84510	0
941	0	-84600	0
942	0	-84690	0
943	0	-84780	0
944	0	-84870	0
945	0	-84960	0
946	0	-85050	0
947	0	-85140	0
948	0	-85230	0
949	0	-85320	0
950	0	-85410	0
951	0	-85500	0
952	0	-85590	0
953	0	-85680	0
954	0	-85770	0
955	0	-85860	0
956	0	-85950	0
957	0	-86040	0
958	0	-86130	0
959	0	-86220	0
960	0	-86310	0
961	0	-86400	0
962	0	-86490	0
963	0	-86580	0
964	0	-86670	0
965	0	-86760	0
966	0	-86850	0
967	0	-86940	0
968	0	-87030	0
969	0	-87120	0
970	0	-87210	0
971	0	-87300	0
972	0	-87390	0
973	0	-87480	0
974	0	-87570	0
975	0	-87660	0
976	0	-87750	0
977	0	-87840	0
978	0	-87930	0
979	0	-88020	0
980	0	-88110	0
981	0	-88200	0
982	0	-88290	0
983	0	-88380	0
984	0	-88470	0
985	0	-88560	0
986	0	-88650	0
987	0	-88740	0
988	0	-88830	0
989	0	-88920	0
990	0	-89010	0
991	0	-89100	0
992	0	-89190	0
993	0	-89280	0
994	0	-89370	0
995	0	-89460	0
996	0	-89550	0
997	0	-89640	0
998	0	-89730	0
999	0	-89820	0
1000	0	-89910	0
1001	0	-90000	0
1002	0	-90090	0
1003	0	-90180	0
1004	0	-90270	0
1005	0	-90360	0
1006	0	-90450	0
1007	0	-90540	0
1008	0	-90630	0
1009	0	-90720	0
1010	0	-90810	0
1011	0	-90900	0
1012	0	-90990	0
1013	0	-91080	0
1014	0	-91170	0
1015	0	-91260	0
1016	0	-91350	0
1017	49908	-91350	0
1018	49908	-91260	0
1019	49908	-91170	0
1020	49908	-91080	0
1021	49908	-90990	0
1022	49908	-90900	0
1023	49908	-90810	0
1024	49908	-90720	0
1025	49908	-90630	0
1026	49908	-90540	0
1027	49908	-90450	0
1028	49908	-90360	0
1029	49908	-90270	0
1030	49908	-90180	0
1031	49908	-90090	0
1032	49908	-90000	0
1033	49908	-89910	0
1034	49908	-89820	0
1035	49908	-89730	0
1036	49908	-89640	0
1037	49908	-89550	0
1038	49908	-89460	0
1039	49908	-89370	0
1040	49908	-89280	0
1041	49908	-89190	0
1042	49908	-89100	0
1043	49908	-89010	0
1044	49908	-88920	0
1045	49908	-88830	0
1046	49908	-88740	0
1047	49908	-88650	0
1048	49908	-88560	0
1049	49908	-88470	0
1050	49908	-88380	0
1051	49908	-88290	0
1052	49908	-88200	0
1053	49908	-88110	0
1054	49908	-88020	0
1055	49908	-87930	0
1056	49908	-87840	0
1057	49908	-87750	0
1058	49908	-87660	0
1059	49908	-87570	0
1060	49908	-87480	0
1061	49908	-87390	0
1062	49908	-87300	0
1063	49908	-87210	0
1064	49908	-87120	0
1065	49908	-87030	0
